code_postal,code_commune,libelle_commune,code_departement,libelle_departement,revenu_median_menages_2021,taux_pauvrete_total_2021,taux_pauvrete_0_14_ans,taux_pauvrete_15_29_ans,taux_pauvrete_30_44_ans,taux_pauvrete_45_59_ans,taux_pauvrete_60_74_ans,taux_pauvrete_75_ans_plus,revenu_decile_1_menages,revenu_decile_9_menages,part_revenus_activite,part_revenus_patrimoine,part_prestations_familiales,part_prestations_sociales,part_aides_logement,population_totale_2022,population_0_14_ans,population_15_29_ans,population_30_44_ans,population_45_59_ans,population_60_74_ans,population_75_89_ans,population_90_ans_plus,population_hommes,population_femmes,hommes_0_19_ans,hommes_20_64_ans,hommes_65_ans_plus,femmes_0_19_ans,femmes_20_64_ans,femmes_65_ans_plus,chomeurs_15_24_ans,chomeurs_25_54_ans,chomeurs_55_64_ans,actifs_15_24_ans,actifs_25_54_ans,actifs_55_64_ans,actifs_15_ans_plus,actifs_occupes_15_24_ans,actifs_occupes_25_54_ans,actifs_occupes_55_64_ans,actifs_occupes_15_ans_plus,nombre_salaries,nombre_non_salaries,emplois_salaries,emplois_non_salaries,nombre_creations_entreprises_2024,nombre_total_etablissements_2023,etablissements_industrie,etablissements_construction,etablissements_commerce_services,etablissements_administration_sante_education,effectif_total_salarie_2024,effectif_industrie,effectif_construction,effectif_commerce_services,effectif_administration_sante,residences_principales_hlm,nombre_total_logements,nombre_logements_vacants,taux_cambriolage,taux_violence_famille,taux_violence_sexuelle,taux_vols_armes,nb_associations,total_inscrits,total_abstentions,total_votants,total_blancs,total_nuls,total_exprimes,ratio_abstentions_inscrits,ratio_votants_inscrits,ratio_blancs_votants,ratio_nuls_votants,ratio_exprimes_inscrits,ratio_exprimes_votants,nom_complet,voix,pourcentage_voix,famille_politique,parti_politique
94001.0,1,Ablon-sur-Seine,94,Val-de-Marne,24000,15.0,23.0,19.0,17.0,18.0,14.0,14.0,11900.0,41220.0,83.6,3.3,6.8,5.0,0.9,6029.0,1385.29393449004,1118.17172405273,1349.04713595125,1081.73821443641,631.458764760766,375.21528506697,88.0749412418343,2856.2538741509,3172.7461258491,897.943771813832,1634.34791088348,323.962191453588,854.729444689345,1805.97438500794,512.042296151815,64.0877367981127,255.984967446087,31.1326245352789,281.194172657785,2365.12882826995,360.304815661356,3040.48100153653,217.106435859672,2109.14386082387,329.172191126077,2687.31477174222,2418.96298194187,268.351789800355,456.906384548761,143.933535904341,105.0,326.0,3.0,38.0,63.0,14.0,721.0,19.0,143.0,199.0,360.0,285.389087127327,2658.88293639047,234.141458933785,8.2741514,2.3221098,0.0,0.0,99,3121.0,708.0,2413.0,26.0,25.0,2362.0,22.68503684716437,77.31496315283563,1.077496891835889,1.0360547036883547,75.68087151553989,97.88644840447576,MÉLENCHON Jean-Luc,655,1.9504496456435,Gauche,La France Insoumise
94002.0,2,Alfortville,94,Val-de-Marne,22360,21.0,23.0,18.0,22.0,22.0,21.0,21.0,10300.0,41600.0,90.0,3.6,5.1,6.7,1.6,45569.0,8108.67288022221,9022.49236657826,10775.759586352,8317.83471751243,6014.65565717515,2899.96116287242,429.623629287561,21672.0585426869,23896.9414573131,5294.24546106335,13527.9981829349,2849.8148986886,5141.07479758829,14760.1831620792,3995.68349764564,470.069387689399,2574.23632274013,357.807613124981,2138.86445037912,18185.7260223779,3556.83605559027,24272.7139071333,1668.79506268972,15611.4896996377,3199.02844246528,20822.1584885007,18564.6116211173,2257.54686738343,9997.6735594716,1846.04370489571,1092.0,4044.0,59.0,267.0,926.0,98.0,11407.0,834.0,1826.0,6452.0,2295.0,8505.90481091911,23721.5697639509,1686.65263247319,5.6488673,4.2572802,1.3605741,0.1097237,883,23940.0,5388.0,18552.0,294.0,113.0,18145.0,22.5062656641604,77.4937343358396,1.5847347994825356,0.6090987494609745,75.7936507936508,97.80616645105648,MÉLENCHON Jean-Luc,6786,10.296482869541467,Gauche,La France Insoumise
92002.0,2,Antony,92,Hauts-de-Seine,32000,9.0,16.0,10.0,9.0,8.0,7.0,6.0,14590.0,57850.0,89.2,4.4,9.2,2.6,0.5,64026.0,11730.0683045649,11858.9062459348,13486.1052084611,12217.4094240697,9361.16727419912,4598.21848142866,774.125061341708,30783.2392796777,33242.7607203223,7880.23017908206,18202.8120159972,4700.19708459843,7920.71761132049,18922.086672069,6399.95643693276,567.988371657937,1943.56521772199,422.464483800988,2489.21170407731,24022.8900280936,5642.06383591888,32836.8139110753,1921.22333241937,22079.3248103716,5219.59935211789,29875.3831013582,26640.2182927695,3235.16480858878,19400.5145922712,2851.13287353329,1172.0,5402.0,50.0,117.0,1179.0,210.0,21621.0,1343.0,846.0,11204.0,8228.0,4819.03716403721,30549.1549167106,2121.67828986912,8.3472031,2.8738325,1.1089245,0.0,977,41966.0,8309.0,33657.0,722.0,0.0,32935.0,19.79936138779012,80.20063861220989,2.1451703954600827,0.0,78.48019825573083,97.85482960453992,MACRON Emmanuel,12282,18.635632567596275,Centre,La République En Marche
94003.0,3,Arcueil,94,Val-de-Marne,23560,19.0,26.0,19.0,20.0,18.0,15.0,14.0,10720.0,45290.0,87.7,3.5,5.9,5.8,1.3,21868.0,4050.09717505497,5025.61696501174,4896.27537310912,3973.93414054304,2618.24053738477,1115.90851707853,187.92729181785,10589.4787000055,11278.5212999945,2807.31622523184,6588.97350613972,1193.18896863398,2581.48539851954,7013.12365347387,1683.91224800106,264.891891783349,970.341580175281,138.167742550843,1196.07708673715,8579.21332163374,1646.61007426706,11599.7728084935,931.185194953798,7608.87174145846,1508.44233171621,10213.4600776182,9213.19027809691,1000.26979952133,15845.4836728056,1081.84364909682,480.0,1957.0,22.0,57.0,577.0,61.0,19267.0,265.0,864.0,11787.0,6351.0,3810.14132739203,11238.9908024657,655.907256585271,11.7448268,4.527163,1.4633254,0.0,733,12682.0,3441.0,9241.0,207.0,0.0,9034.0,27.132944330547232,72.86705566945277,2.240017314143491,0.0,71.23482100615045,97.75998268585651,MÉLENCHON Jean-Luc,3760,29.64832045418704,Gauche,La France Insoumise
92004.0,4,Asnières-sur-Seine,92,Hauts-de-Seine,28370,15.0,13.0,11.0,17.0,17.0,16.0,16.0,11640.0,58000.0,99.1,5.2,8.5,3.5,0.8,91457.0,18283.0023391198,18947.5211408868,23168.5820995736,16186.884628007,9748.23803482493,4255.82355813201,866.948199455858,43724.4591757376,47732.5408242624,11913.0819372594,27227.9634427473,4583.41379573083,11386.3555066195,29905.993271772,6440.19204587092,724.483890765946,3317.10614000031,588.412739623911,4199.36904178225,39441.8139108311,6273.78651849225,50743.691795573,3474.8851510163,36124.7077708308,5685.37377886834,46058.4676953609,40774.60122335,5283.86647201088,19925.0625892862,3781.13463661674,2374.0,9300.0,106.0,309.0,2280.0,288.0,27429.0,1327.0,2463.0,17107.0,6532.0,7668.81523591639,46364.076118439,4038.2443963561,5.0038741,2.8209978,1.3886307,0.109341,1471,48963.0,9727.0,39236.0,495.0,216.0,38525.0,19.866021281375733,80.13397871862426,1.2615964930166177,0.5505148333163421,78.68186181402284,98.18788867366705,MACRON Emmanuel,13790,23.844930142481672,Centre,La République En Marche
93001.0,1,Aubervilliers,93,Seine-Saint-Denis,15330,42.0,43.0,40.0,47.0,44.0,36.0,32.0,7490.0,29530.0,80.0,2.8,3.2,14.9,3.8,89489.0,18940.1619802393,19688.8777831709,21214.2537174515,16481.2491542468,9802.60330866536,3050.30538501262,311.548671213584,47633.3186774154,41855.6813225846,12505.3806514306,30374.3084853387,4753.62954064611,12099.3767757679,25241.6213409382,4514.68320587848,1232.78879223571,5699.85085128208,809.650425543004,4882.46252241953,32059.6359955435,5677.90520175194,43485.1264180015,3649.67373018382,26359.7851442614,4868.25477620893,35656.5554369004,31827.1113560067,3829.4440808936,31123.1141744262,4020.36871112571,3566.0,8311.0,166.0,470.0,2965.0,234.0,38343.0,3711.0,2481.0,24997.0,7154.0,10981.1564597096,37613.9143523461,2224.05269222028,6.7528202,5.5314061,1.9555476,0.7039971,1679,30461.0,11130.0,19331.0,221.0,118.0,18992.0,36.538524670890645,63.46147532910936,1.143241425689307,0.6104184987843361,62.34857686878304,98.24634007552636,MÉLENCHON Jean-Luc,11392,33.922934905604194,Gauche,La France Insoumise
93005.0,5,Aulnay-sous-Bois,93,Seine-Saint-Denis,18710,29.0,35.0,31.0,33.0,29.0,23.0,21.0,9260.0,34880.0,77.4,3.1,5.2,10.3,2.0,86360.0,19784.9909612754,17504.8196917252,17140.2923003561,16031.2751817306,10804.8881613994,4527.5419880123,566.19171550109,42858.4474047488,43501.5525952512,13579.3499785101,23905.2236772624,5373.87374897638,12493.3379494914,24748.7029401547,6259.5117056051,1290.99742924089,4514.0714193065,751.980679996217,4408.59402035084,28131.4601593897,6195.21407777945,39390.3943514498,3117.59659110995,23617.3887400832,5443.23339778323,32777.3575891198,29883.633273705,2893.72431541487,25109.0563333697,2764.12019657136,1966.0,5806.0,97.0,699.0,1645.0,271.0,29713.0,2925.0,3385.0,16733.0,6668.0,9043.30933713882,32935.8474061633,1396.62924807387,11.1732361,4.7823066,1.2274201,0.2547476,1546,44373.0,13949.0,30424.0,395.0,150.0,29879.0,31.43578302120659,68.56421697879341,1.2983171180646855,0.4930318169865895,67.33599260811755,98.20865106494873,MÉLENCHON Jean-Luc,15141,34.12210127780407,Gauche,La France Insoumise
92007.0,7,Bagneux,92,Hauts-de-Seine,21040,20.0,24.0,19.0,25.0,20.0,17.0,13.0,10840.0,39230.0,86.0,2.9,4.4,7.9,1.7,43647.0,9102.61748413769,9405.88432602711,9401.87128975189,7988.40603035448,5453.61344709526,1934.4243335457,360.183089087874,20976.7918126245,22670.2081873755,6159.86691921422,12538.812300294,2278.11259311628,5855.23624122112,13606.068927413,3208.90301874136,635.703085361404,2330.40877356941,368.368865684869,2474.13984873358,16286.5924573416,3348.33372077762,22398.2765068222,1838.43676337217,13956.1836837722,2979.96485509275,19036.1447631313,17458.4355552085,1577.70920792289,11078.9711155542,1355.05728566671,914.0,2647.0,51.0,107.0,552.0,111.0,15292.0,1644.0,809.0,9428.0,3411.0,10165.0916818275,19434.5425323035,981.751316462203,5.1969322,4.9717048,1.3746649,0.1145554,725,22715.0,6656.0,16059.0,186.0,101.0,15772.0,29.302223200528285,70.69777679947171,1.1582290304502147,0.6289308176100629,69.43429451904028,98.21284015193972,MÉLENCHON Jean-Luc,7423,15.243238803211696,Gauche,La France Insoumise
93006.0,6,Bagnolet,93,Seine-Saint-Denis,19060,28.0,29.0,25.0,32.0,29.0,26.0,22.0,9270.0,37940.0,86.1,4.9,4.9,9.3,2.0,41776.0,8453.47113740491,8466.55335051378,9667.2930340424,8086.42335909422,5014.79528759056,1838.90110979774,248.562721556391,20263.9972088158,21512.0027911842,5666.53125681207,12391.9864643565,2205.47948764723,5572.16809175555,12995.7785427985,2944.05615663013,563.464807042372,2479.20970323101,485.472047483083,2109.42174503096,16317.9194380463,2994.58041336678,21900.1511369821,1545.95693798858,13838.7097348153,2509.10836588369,18340.0241443248,15900.7521815862,2439.27196273866,10958.9580278542,1901.00653402133,1060.0,3593.0,65.0,155.0,880.0,95.0,10348.0,513.0,627.0,6455.0,2747.0,6875.15685143509,18720.9346198115,1243.11947900576,10.3093144,4.7395634,1.2447338,0.0,923,19022.0,5700.0,13322.0,250.0,0.0,13072.0,29.965303332982863,70.03469666701714,1.876595105839964,0.0,68.72042897697403,98.12340489416005,MÉLENCHON Jean-Luc,7106,37.3567448217853,Gauche,La France Insoumise
93008.0,8,Bobigny,93,Seine-Saint-Denis,16330,36.0,33.0,38.0,42.0,36.0,28.0,26.0,8780.0,28650.0,77.7,2.0,3.2,15.2,3.1,55270.0,13026.9897495324,12252.4575065431,11254.0415108645,9828.27738703441,6312.91915979236,2383.56482163016,211.749864602982,27633.4409738756,27636.5590261244,9106.99372538648,15351.9427689765,3174.50447951262,8357.55407352538,15967.3034899441,3311.70146265495,929.248239356483,2970.70248003779,412.488805612123,3030.58492675233,16742.2256708809,3207.19184786743,23464.1078986597,2101.33668739585,13771.5231908431,2794.7030422553,19102.6442756223,17612.3254288335,1490.31884678885,28979.4346604073,1828.06406908613,1426.0,3975.0,96.0,432.0,1096.0,195.0,44844.0,1495.0,1648.0,10665.0,31036.0,9535.63127018695,20824.1265733167,987.29579842569,7.0591196,5.5545504,2.2616248,0.271395,1270,23366.0,8942.0,14424.0,179.0,124.0,14121.0,38.26928015064624,61.73071984935376,1.2409872434830838,0.8596783139212424,60.43396387914064,97.89933444259567,MÉLENCHON Jean-Luc,8492,36.34340494735941,Gauche,La France Insoumise
